Season,Assists,GamesPlayed,GamesStarted,Goals,GoalsAgainst,GoalsAgainstAverage,Losses,OTLosses,PenaltyMinutes,PlayerFirstName,PlayerId,PlayerLastName,PlayerName,PlayerPositionCode,SavePctg,Saves,ShotsAgainst,Shutouts,Ties,TimeOnIce,Wins
20112012,4,70,67,0,179,2.7459,26,6,4,Craig,8467950,Anderson,Craig Anderson,G,0.9157,1946,2125,4,0,234670,36
20112012,0,14,8,0,36,3.3486,4,2,0,Alex,8467913,Auld,Alex Auld,G,0.8838,274,310,0,0,38702,2
20112012,0,36,32,0,86,2.6022,18,4,0,Curtis,8468166,Sanford,Curtis Sanford,G,0.9114,885,971,1,0,118975,10
20112012,1,15,13,0,44,3.2812,6,1,0,Ty,8469152,Conklin,Ty Conklin,G,0.8835,334,378,1,0,48274,5
20112012,0,7,6,0,17,2.6614,4,1,0,Jacob,8474593,Markstrom,Jacob Markstrom,G,0.9234,205,222,0,0,22995,2
20112012,1,6,6,0,15,3.0374,4,0,0,Kevin,8474690,Poulin,Kevin Poulin,G,0.9074,147,162,0,0,17778,2
20112012,3,21,20,0,50,2.4589,6,2,0,Martin,8462047,Biron,Martin Biron,G,0.9036,469,519,2,0,73201,12
20112012,0,10,9,0,22,2.4828,3,2,2,Ben,8471750,Bishop,Ben Bishop,G,0.9094,221,243,0,0,31899,3
20112012,2,70,68,0,178,2.6324,22,8,4,Ilya,8468524,Bryzgalov,Ilya Bryzgalov,G,0.9053,1702,1880,6,0,243423,38
20112012,0,4,4,0,11,2.7363,1,0,0,Jeff,8470074,Deslauriers,Jeff Deslauriers,G,0.9026,102,113,0,0,14472,3
20112012,1,10,5,0,19,2.7227,5,0,0,Dan,8468540,Ellis,Dan Ellis,G,0.9112,195,214,0,0,25122,1
20112012,0,2,1,0,7,4.2467,1,0,0,Jussi,8475680,Rynnas,Jussi Rynnas,G,0.825,33,40,0,0,5934,0
20112012,1,38,30,0,95,2.8217,13,5,2,Michal,8473607,Neuvirth,Michal Neuvirth,G,0.9026,881,976,3,0,121203,13
20112012,3,83,83,0,178,2.1663,25,13,30,Mike,8469608,Smith,Mike Smith,G,0.9332,2490,2668,11,0,295801,47
