Season,Assists,FaceoffWinPctg,GameWinningGoals,GamesPlayed,Goals,OTGoals,PenaltyMinutes,PlayerFirstName,PlayerId,PlayerLastName,PlayerName,PlayerPositionCode,PlusMinus,Points,PPGoals,PPPoints,SHGoals,SHPoints,ShiftsPerGame,ShootingPctg,Shots,TeamAbbrev,TimeOnIcePerGame
20112012,19,0.00,0,80,5,0,66,Luca,8474579,Sbisa,Luca Sbisa,D,-5,24,0,3,0,0,21.50,0.0568,88,NULL,1075.7625
20112012,0,1.00,0,23,1,0,37,Aaron,8475619,Volpatti,Aaron Volpatti,L,-2,1,0,0,0,0,13.6086,0.0588,17,NULL,538.1304
20112012,31,0.4375,4,92,43,2,34,Alex,8471214,Ovechkin,Alex Ovechkin,L,-10,74,15,27,0,0,21.4782,0.1218,353,NULL,1188.4891
20112012,18,0.3939,3,79,7,0,43,Jamie,8459457,Langenbrunner,Jamie Langenbrunner,R,6,25,0,0,0,0,21.5063,0.0518,135,NULL,842.2658
20112012,7,0.3157,0,61,5,0,18,Mathieu,8468463,Darche,Mathieu Darche,L,-4,12,0,0,2,4,16.2131,0.0649,77,NULL,727.7377
20112012,17,0.4975,3,79,18,0,26,Jason,8459429,Arnott,Jason Arnott,C,12,35,7,15,0,0,20.3544,0.1176,153,NULL,828.3291
20112012,27,0.44,4,82,19,0,82,Ryan,8460496,Smyth,Ryan Smyth,L,-5,46,4,8,0,0,24.8536,0.0979,194,NULL,1144.939
20112012,28,0.00,2,80,6,1,36,Filip,8462225,Kuba,Filip Kuba,D,27,34,3,12,0,2,28.95,0.0681,88,NULL,1415.8375
20112012,22,0.5423,6,82,28,2,64,Andrew,8471217,Ladd,Andrew Ladd,L,-8,50,4,12,0,0,23.4024,0.1056,265,NULL,1173.9512
20112012,11,0.1764,1,77,9,0,30,Anthony,8470618,Stewart,Anthony Stewart,R,-2,20,0,2,0,0,12.7922,0.1406,64,NULL,487.4805
20112012,0,0.5384,2,9,2,0,0,Chad,8471885,Rau,Chad Rau,C,-1,2,0,0,0,0,16.6666,0.2857,7,NULL,653.3333
20112012,3,0.1818,0,38,4,0,14,Nick,8473999,Palmieri,Nick Palmieri,R,-10,7,0,0,0,0,15.7368,0.0727,55,NULL,635.00
20112012,0,0.4155,0,19,0,0,7,Tim,8471636,Sestito,Tim Sestito,L,-5,0,0,0,0,0,11.7368,0.00,6,NULL,490.6842
20112012,22,0.00,0,73,2,0,73,Travis,8474612,Hamonic,Travis Hamonic,D,6,24,1,6,0,0,26.1369,0.0161,124,NULL,1345.6301
20112012,36,0.5185,4,89,28,0,28,Tomas,8470039,Fleischmann,Tomas Fleischmann,L,-7,64,6,24,0,0,24.9887,0.1217,230,NULL,1144.2247
20112012,0,0.00,0,1,0,0,0,Ty,8473501,Wishart,Ty Wishart,D,0,0,0,0,0,0,19.00,0.00,0,NULL,1036.00
20112012,0,0.00,0,4,0,0,0,Vladimir,8473592,Zharkov,Vladimir Zharkov,R,-2,0,0,0,0,0,8.25,0.00,0,NULL,292.75
20112012,1,0.00,0,5,0,0,0,J.T.,8476806,Brown,J.T. Brown,R,2,1,0,0,0,0,18.60,0.00,13,NULL,831.40
20112012,1,0.00,0,10,1,0,2,Maksim,8474195,Mayorov,Maksim Mayorov,L,-3,2,0,0,0,0,15.20,0.1111,9,NULL,639.90
20112012,1,0.4444,1,35,1,0,14,Jed,8470580,Ortmeyer,Jed Ortmeyer,R,-8,2,0,0,0,0,15.7428,0.0243,41,NULL,583.1142
20112012,31,0.00,1,88,21,0,55,Shea,8470642,Weber,Shea Weber,D,20,52,11,24,2,2,29.7045,0.0798,263,NULL,1585.25
20112012,1,0.00,0,2,0,0,0,Philippe,8474691,Cornet,Philippe Cornet,L,0,1,0,0,0,0,16.00,0.00,0,NULL,634.50
20112012,4,0.00,0,57,2,0,22,Jack,8474519,Hillen,Jack Hillen,D,7,6,0,0,0,0,18.6666,0.0384,52,NULL,830.807
20112012,0,0.00,0,5,3,0,4,Sven,8476466,Baertschi,Sven Baertschi,L,2,3,0,0,0,0,16.20,0.30,10,NULL,668.20
20112012,21,0.00,2,79,4,0,42,Trevor,8470110,Daley,Trevor Daley,D,3,25,1,6,0,0,27.886,0.0298,134,NULL,1298.8607
20112012,5,0.00,1,34,3,0,20,Corey,8474130,Tropp,Corey Tropp,R,0,8,0,0,0,0,14.4117,0.0937,32,NULL,605.2058
20112012,0,0.00,0,2,0,0,0,Colin,8469582,Stuart,Colin Stuart,L,-3,0,0,0,0,0,9.50,0.00,0,NULL,371.50
20112012,48,0.4891,4,87,24,0,51,Henrik,8468083,Zetterberg,Henrik Zetterberg,L,11,72,5,16,0,2,24.3333,0.0827,290,NULL,1201.5517
20112012,3,1.00,0,18,4,0,6,Kyle,8475151,Palmieri,Kyle Palmieri,R,3,7,0,0,0,0,15.2222,0.1176,34,NULL,691.2222
20112012,1,0.00,0,5,0,0,0,Cade,8474029,Fairchild,Cade Fairchild,D,-1,1,0,0,0,0,15.00,0.00,1,NULL,579.20
20112012,3,0.00,0,21,1,0,12,Simon,8475155,Despres,Simon Despres,D,7,4,1,1,0,0,18.7142,0.0434,23,NULL,811.0476
20112012,23,0.4333,1,87,17,0,48,Jannik,8471498,Hansen,Jannik Hansen,R,17,40,0,0,1,3,22.4942,0.118,144,NULL,899.1034
20112012,8,0.00,0,72,2,0,99,Adam,8471717,McQuaid,Adam McQuaid,D,16,10,0,0,0,0,19.8333,0.0317,63,NULL,897.1388
20112012,2,0.00,0,17,0,0,4,Mike,8471314,Lundin,Mike Lundin,D,-1,2,0,0,0,0,27.7058,0.00,9,NULL,1212.4117
20112012,42,0.4527,3,81,20,0,36,Martin,8468064,Erat,Martin Erat,R,11,62,6,19,1,1,25.1975,0.168,119,NULL,1111.5802
20112012,2,0.00,0,8,1,0,0,Chris,8472368,Conner,Chris Conner,R,2,3,0,0,0,0,14.75,0.10,10,NULL,633.75
20112012,7,0.00,0,51,1,0,66,Keith,8470054,Ballard,Keith Ballard,D,-1,8,0,0,0,0,21.4901,0.0232,43,NULL,929.1176
20112012,9,0.00,1,64,6,0,30,Kris,8471729,Russell,Kris Russell,D,15,15,0,2,0,0,23.3593,0.0952,63,NULL,1041.3593
20112012,13,0.4196,2,82,13,0,15,Andrew,8471699,Cogliano,Andrew Cogliano,L,-4,26,2,3,0,0,20.1219,0.113,115,NULL,882.3536
20112012,1,0.25,4,35,7,0,8,Benn,8473600,Ferriero,Benn Ferriero,R,0,8,0,0,0,0,17.8571,0.1029,68,NULL,722.9714
20112012,8,0.4545,0,33,4,0,6,Wojtek,8471234,Wolski,Wojtek Wolski,L,-6,12,0,1,0,0,18.0606,0.074,54,NULL,813.5757
20112012,0,0.00,0,1,0,0,2,Scott,8475173,Glennie,Scott Glennie,R,0,0,0,0,0,0,13.00,0.00,0,NULL,575.00
20112012,0,0.00,0,4,0,0,16,Matt,8467408,Walker,Matt Walker,D,-2,0,0,0,0,0,14.75,0.00,2,NULL,657.75
20112012,53,0.00,1,89,5,0,8,Brian,8466285,Campbell,Brian Campbell,D,-11,58,2,35,0,0,28.9775,0.0357,140,NULL,1619.0112
20112012,21,1.00,1,79,7,0,46,Andrew,8466333,Ference,Andrew Ference,D,7,28,0,2,0,1,24.7848,0.056,125,NULL,1147.4936
20112012,1,0.00,0,12,0,0,4,Brian,8473565,Strait,Brian Strait,D,1,1,0,0,0,0,16.1666,0.00,6,NULL,723.6666
20112012,3,0.00,0,30,1,0,14,Brett,8471187,Lebda,Brett Lebda,D,-1,4,0,0,0,0,20.9666,0.0277,36,NULL,988.60
20112012,1,0.00,0,1,0,0,0,Chay,8476224,Genoway,Chay Genoway,D,0,1,0,0,0,0,21.00,0.00,1,NULL,1096.00
20112012,19,0.4725,2,77,8,0,14,Brian,8458525,Rolston,Brian Rolston,R,-7,27,1,4,0,0,18.7012,0.0476,168,NULL,859.7792
20112012,21,0.4102,1,70,7,0,6,Nikolay,8473579,Kulemin,Nikolay Kulemin,L,2,28,1,5,0,1,20.8285,0.0654,107,NULL,913.4714
20112012,6,0.00,0,14,1,0,13,Brendan,8474090,Smith,Brendan Smith,D,3,7,0,1,0,0,20.3571,0.0769,13,NULL,937.8571
20112012,37,0.5104,5,85,32,0,16,Logan,8474053,Couture,Logan Couture,C,1,69,11,27,2,2,25.3058,0.1212,264,NULL,1118.4941
20112012,7,0.421,0,38,3,0,25,Tommy,8474739,Wingels,Tommy Wingels,C,0,10,0,1,0,0,18.6315,0.0405,74,NULL,799.2105
20112012,7,0.582,0,72,4,0,83,Chris,8469501,Thorburn,Chris Thorburn,R,-6,11,0,0,0,0,15.3055,0.0579,69,NULL,610.9444
20112012,9,0.00,1,39,4,0,8,Stefan,8475206,Elliott,Stefan Elliott,D,2,13,0,2,0,0,22.6666,0.0476,84,NULL,1028.5128
20112012,19,0.00,0,73,5,0,24,Anton,8471873,Stralman,Anton Stralman,D,10,24,2,8,0,0,20.863,0.0617,81,NULL,1023.0958
20112012,17,0.00,1,75,5,0,48,Stephane,8462196,Robidas,Stephane Robidas,D,-5,22,2,9,0,0,28.48,0.0666,75,NULL,1365.72
20112012,0,0.00,0,1,0,0,0,Max,8474607,Sauve,Max Sauve,C,0,0,0,0,0,0,7.00,0.00,0,NULL,223.00
20112012,10,0.4429,1,92,6,0,28,Trevor,8473453,Lewis,Trevor Lewis,C,4,16,1,1,0,0,19.0978,0.0428,140,NULL,815.9456
20112012,18,0.00,0,61,5,0,65,Victor,8475167,Hedman,Victor Hedman,D,-9,23,0,4,0,1,29.0163,0.0609,82,NULL,1385.9672
20112012,8,0.4047,0,86,5,0,154,Shawn,8465978,Thornton,Shawn Thornton,L,-7,13,0,0,1,1,12.3139,0.0406,123,NULL,545.1162
20112012,4,0.4086,0,15,0,0,6,Casey,8475231,Cizikas,Casey Cizikas,C,1,4,0,0,0,0,15.2666,0.00,12,NULL,636.0666
20112012,11,0.00,0,86,0,0,76,Roman,8471392,Polak,Roman Polak,D,3,11,0,0,0,0,25.9767,0.00,94,NULL,1143.3837
20112012,3,0.3043,0,35,4,0,17,Kevin,8471331,Porter,Kevin Porter,C,-2,7,0,0,0,0,12.6285,0.125,32,NULL,550.9428
20112012,0,0.50,0,62,1,0,121,Brad,8471521,Staubitz,Brad Staubitz,R,-5,1,0,0,0,0,9.1935,0.037,27,NULL,391.2903
20112012,4,0.5454,0,33,5,0,31,Jimmy,8474625,Hayes,Jimmy Hayes,R,-4,9,1,2,0,0,14.2121,0.1111,45,NULL,614.3636
20112012,22,0.4633,3,83,19,0,10,Cody,8474570,Hodgson,Cody Hodgson,C,1,41,7,14,0,0,19.2409,0.1233,154,NULL,829.3493
20112012,5,0.00,0,37,2,0,4,Erik,8475640,Gustafsson,Erik Gustafsson,D,16,7,0,0,0,1,22.1081,0.074,27,NULL,989.9189
20112012,27,0.4784,5,64,22,1,50,Vincent,8467329,Lecavalier,Vincent Lecavalier,C,-2,49,5,11,0,0,21.9843,0.1208,182,NULL,1135.875
20112012,15,0.6666,3,46,17,0,54,Nathan,8470596,Horton,Nathan Horton,R,0,32,6,8,0,0,19.4565,0.1888,90,NULL,955.9782
20112012,19,0.3684,2,62,6,0,32,Nathan,8471804,Gerbe,Nathan Gerbe,L,2,25,0,1,0,1,19.00,0.0437,137,NULL,852.4516
20112012,0,0.00,0,3,0,0,10,Joel,8474383,Rechlicz,Joel Rechlicz,R,0,0,0,0,0,0,2.6666,0.00,0,NULL,118.6666
20112012,16,0.00,0,80,1,0,24,Andy,8472382,Greene,Andy Greene,D,4,17,0,1,0,0,26.7875,0.0129,77,NULL,1215.7125
20112012,1,0.00,0,8,1,0,4,Jason,8468789,Williams,Jason Williams,C,1,2,0,1,0,0,12.625,0.25,4,NULL,634.375
20112012,9,0.5536,1,84,6,0,91,Jamal,8459514,Mayers,Jamal Mayers,R,-5,15,0,1,0,0,15.369,0.0821,73,NULL,585.8214
20112012,25,0.4134,10,104,33,1,170,David,8470920,Clarkson,David Clarkson,R,0,58,8,19,0,0,21.1442,0.1226,269,NULL,960.8269
20112012,6,0.40,1,49,3,0,16,Tim,8473734,Wallace,Tim Wallace,R,-3,9,0,0,0,0,12.3061,0.1153,26,NULL,515.7346
20112012,24,1.00,0,82,5,0,18,Cam,8475764,Fowler,Cam Fowler,D,-28,29,2,11,0,0,24.378,0.0406,123,NULL,1395.6341
20112012,19,0.4614,3,62,13,1,33,Kyle,8474068,Turris,Kyle Turris,C,9,32,1,5,0,0,21.758,0.0849,153,NULL,1009.629
20112012,9,0.00,1,52,5,0,45,Steve,8468927,Montador,Steve Montador,D,4,14,2,6,0,0,19.2884,0.0877,57,NULL,885.5961
20112012,16,0.00,0,79,2,0,65,Brooks,8468498,Orpik,Brooks Orpik,D,17,18,0,0,0,1,25.1518,0.0425,47,NULL,1351.886
20112012,50,0.5132,8,82,31,1,26,John,8475166,Tavares,John Tavares,C,-6,81,7,25,0,0,21.6707,0.1083,286,NULL,1234.0975
20112012,26,0.00,0,96,11,0,30,John,8474590,Carlson,John Carlson,D,-16,37,5,9,0,1,27.9687,0.0614,179,NULL,1330.552
20112012,13,0.509,1,82,8,0,60,Vernon,8469759,Fiddler,Vernon Fiddler,C,-13,21,0,0,0,1,20.1585,0.065,123,NULL,839.1097
20112012,25,0.3636,4,76,18,2,18,Chris,8470274,Higgins,Chris Higgins,L,8,43,1,8,1,1,23.671,0.1022,176,NULL,975.9736
20112012,1,0.60,0,54,2,0,126,Jared,8471766,Boll,Jared Boll,R,-8,3,0,0,0,0,11.7407,0.0571,35,NULL,487.0925
20112012,21,0.4375,0,89,17,0,46,Colin,8471862,Greening,Colin Greening,C,-3,38,4,8,0,0,21.2584,0.0867,196,NULL,927.8876
20112012,16,0.4927,1,89,8,0,58,Daniel,8471476,Winnik,Daniel Winnik,L,-10,24,0,0,1,2,22.382,0.0427,187,NULL,987.191
