assists,faceoffWinPctg,gameWinningGoals,gamesPlayed,goals,otGoals,penaltyMinutes,playerFirstName,playerId,playerLastName,playerName,playerPositionCode,playerTeamsPlayedFor,plusMinus,points,pointsPerGame,ppGoals,ppPoints,seasonId,shGoals,shPoints,shiftsPerGame,shootingPctg,shots,timeOnIcePerGame
3,0.2,1,34,3,0,10,Timo,8478414,Meier,Timo Meier,R,SJS,1,6,0.1764,0,0,20162017,0,0,18.4117,0.0352,85,748.4117
36,0.5,8,82,39,3,12,Vladimir,8475765,Tarasenko,Vladimir Tarasenko,R,STL,-1,75,0.9146,9,22,20162017,0,0,25.1707,0.1363,286,1108.1951
19,0.3571,7,73,26,3,8,Marian,8466148,Hossa,Marian Hossa,R,CHI,7,45,0.6164,5,11,20162017,1,1,22.6986,0.1556,167,1011.452
1,0.0,0,3,0,0,0,Barclay,8476624,Goodrow,Barclay Goodrow,R,SJS,0,1,0.3333,0,0,20162017,0,0,18.0,0.0,3,678.3333
18,0.3888,6,81,34,0,56,Anders,8475314,Lee,Anders Lee,L,NYI,9,52,0.6419,9,14,20162017,0,0,20.358,0.178,191,935.2962
7,0.4009,1,30,5,0,2,Ivan,8477964,Barbashev,Ivan Barbashev,C,STL,5,12,0.4,0,0,20162017,0,0,16.3,0.25,20,707.4666
10,0.4911,2,81,7,0,14,Riley,8474062,Nash,Riley Nash,C,BOS,-1,17,0.2098,0,0,20162017,1,3,19.5555,0.056,125,828.3209
14,0.0,1,71,5,1,31,Ben,8477018,Hutton,Ben Hutton,D,VAN,-22,19,0.2676,2,11,20162017,0,0,25.0704,0.0384,130,1229.8169
18,0.0,0,82,2,0,20,Brett,8477488,Pesce,Brett Pesce,D,CAR,23,20,0.2439,0,2,20162017,0,0,25.1463,0.0183,109,1272.256
15,0.4,5,81,27,0,95,Patrick,8474034,Maroon,Patrick Maroon,L,EDM,13,42,0.5185,3,6,20162017,0,0,21.1728,0.1516,178,1004.2592
4,0.463,0,51,6,0,4,Brian,8476808,Flynn,Brian Flynn,C,MTL,2,10,0.196,0,0,20162017,0,0,18.9411,0.1276,47,723.9411
8,0.512,1,49,6,0,12,David,8471976,Desharnais,David Desharnais,C,"MTL, EDM",4,14,0.2857,0,2,20162017,0,0,17.551,0.1304,46,747.5102
21,0.4723,0,74,6,0,48,Shane,8462038,Doan,Shane Doan,R,ARI,-3,27,0.3648,3,5,20162017,0,0,18.8108,0.0416,144,902.8783
5,0.5129,3,53,6,0,14,Eric,8470611,Fehr,Eric Fehr,C,"PIT, TOR",2,11,0.2075,0,0,20162017,0,0,16.9245,0.0967,62,655.6792
23,0.6256,3,77,18,1,12,Matt,8475168,Duchene,Matt Duchene,C,COL,-34,41,0.5324,3,9,20162017,1,1,23.3376,0.1125,160,1098.2467
18,0.5,5,70,23,1,35,James,8471707,Neal,James Neal,L,NSH,-10,41,0.5857,5,13,20162017,0,0,22.8428,0.1138,202,1061.6
2,0.5,0,14,2,0,4,Chris,8474052,Terry,Chris Terry,L,MTL,-1,4,0.2857,0,0,20162017,0,0,15.2142,0.1333,15,593.2857
2,0.0,1,32,2,0,4,Justin,8477473,Bailey,Justin Bailey,R,BUF,0,4,0.125,0,0,20162017,0,0,14.625,0.0555,36,637.9375
7,0.0,0,52,2,0,18,Johnny,8469665,Oduya,Johnny Oduya,D,"DAL, CHI",-4,9,0.173,0,0,20162017,0,0,25.6346,0.054,37,1096.3653
0,0.0,0,2,0,0,0,Erik,8475982,Burgdoerfer,Erik Burgdoerfer,D,BUF,-1,0,0.0,0,0,20162017,0,0,17.0,0.0,2,670.0
3,0.6666,0,18,0,0,4,Joel,8477326,Vermin,Joel Vermin,R,TBL,2,3,0.1666,0,0,20162017,0,0,15.5555,0.0,12,655.6111
3,0.3157,1,64,3,0,73,J.T.,8476806,Brown,J.T. Brown,R,TBL,-7,6,0.0937,0,0,20162017,1,1,15.0312,0.0447,67,622.25
23,0.4833,4,68,33,1,36,T.J.,8471698,Oshie,T.J. Oshie,R,WSH,28,56,0.8235,7,13,20162017,1,3,21.9117,0.2307,143,1071.2941
0,0.0,0,8,0,0,2,Danton,8478046,Heinen,Danton Heinen,C,BOS,-3,0,0.0,0,0,20162017,0,0,16.125,0.0,7,794.0
29,0.0,2,41,5,1,32,Kris,8471724,Letang,Kris Letang,D,PIT,2,34,0.8292,2,14,20162017,0,1,29.439,0.0409,122,1531.0731
32,0.54,7,81,35,2,38,Max,8474157,Pacioretty,Max Pacioretty,L,MTL,15,67,0.8271,8,13,20162017,1,2,24.753,0.1305,268,1150.5925
13,0.4,1,57,15,1,8,Bryan,8475810,Rust,Bryan Rust,R,PIT,4,28,0.4912,0,0,20162017,0,1,19.8421,0.1363,110,818.1754
19,0.5,2,79,32,0,24,Patrick,8470622,Eaves,Patrick Eaves,R,"DAL, ANA",-2,51,0.6455,13,18,20162017,0,0,23.1645,0.1531,209,984.5063
31,0.5,0,82,20,0,16,Jordan,8474586,Eberle,Jordan Eberle,C,EDM,3,51,0.6219,4,14,20162017,0,0,21.7195,0.0961,208,1006.0609
9,0.5234,1,60,3,0,49,Cody,8475236,Eakin,Cody Eakin,C,DAL,-7,12,0.2,0,2,20162017,0,0,24.5,0.0365,82,1008.9166
35,0.2647,3,75,17,0,39,Ondrej,8476292,Palat,Ondrej Palat,L,TBL,8,52,0.6933,5,15,20162017,0,0,24.0933,0.1049,162,1147.04
1,0.0,0,10,0,0,2,Hudson,8477392,Fasching,Hudson Fasching,R,BUF,-1,1,0.1,0,0,20162017,0,0,14.5,0.0,6,624.5
2,0.0,0,42,0,0,38,Nicolas,8475235,Deslauriers,Nicolas Deslauriers,L,BUF,-6,2,0.0476,0,0,20162017,0,0,10.0,0.0,26,444.9523
0,0.0,0,3,0,0,0,Jamie,8473571,McBain,Jamie McBain,D,ARI,-1,0,0.0,0,0,20162017,0,0,20.3333,0.0,3,1000.0
