playerId,assists,faceoffWinPctg,gameWinningGoals,gamesPlayed,goals,otGoals,penaltyMinutes,playerFirstName,playerLastName,playerName,playerPositionCode,playerTeamsPlayedFor,plusMinus,points,pointsPerGame,ppGoals,ppPoints,seasonId,shGoals,shPoints,shiftsPerGame,shootingPctg,shots,timeOnIcePerGame,playerDraftYear,playerDraftOverallPickNo,Age,hits,blockedShots,faceoffs,faceoffsLost,faceoffsWon,giveaways,takeaways,missedShots
8478414,3,0.2,1,34,3,0,10,Timo,Meier,Timo Meier,R,SJS,1,6,0.1764,0,0,20162017,0,0,18.4117,0.0352,85,748.4117,2015,9,19,64,5,5,4,1,28,24,30
8475765,36,0.5,8,82,39,3,12,Vladimir,Tarasenko,Vladimir Tarasenko,R,STL,-1,75,0.9146,9,22,20162017,0,0,25.1707,0.1363,286,1108.1951,2010,16,24,50,31,10,5,5,31,29,112
8466148,19,0.3571,7,73,26,3,8,Marian,Hossa,Marian Hossa,R,CHI,7,45,0.6164,5,11,20162017,1,1,22.6986,0.1556,167,1011.452,1997,12,37,32,36,14,9,5,29,47,59
8476624,1,0,0,3,0,0,0,Barclay,Goodrow,Barclay Goodrow,R,SJS,0,1,0.3333,0,0,20162017,0,0,18,0,3,678.3333,,,23,3,1,0,0,0,1,1,1
8475314,18,0.3888,6,81,34,0,56,Anders,Lee,Anders Lee,L,NYI,9,52,0.6419,9,14,20162017,0,0,20.358,0.178,191,935.2962,2009,152,26,172,34,18,11,7,26,22,60
8477964,7,0.4009,1,30,5,0,2,Ivan,Barbashev,Ivan Barbashev,C,STL,5,12,0.4,0,0,20162017,0,0,16.3,0.25,20,707.4666,2014,33,20,34,14,207,124,83,3,9,10
8474062,10,0.4911,2,81,7,0,14,Riley,Nash,Riley Nash,C,BOS,-1,17,0.2098,0,0,20162017,1,3,19.5555,0.056,125,828.3209,2007,21,27,67,36,562,286,276,18,48,46
8477018,14,0,1,71,5,1,31,Ben,Hutton,Ben Hutton,D,VAN,-22,19,0.2676,2,11,20162017,0,0,25.0704,0.0384,130,1229.8169,2012,147,23,46,106,0,0,0,50,31,45
8477488,18,0,0,82,2,0,20,Brett,Pesce,Brett Pesce,D,CAR,23,20,0.2439,0,2,20162017,0,0,25.1463,0.0183,109,1272.256,2013,66,21,57,148,0,0,0,34,55,55
8474034,15,0.4,5,81,27,0,95,Patrick,Maroon,Patrick Maroon,L,EDM,13,42,0.5185,3,6,20162017,0,0,21.1728,0.1516,178,1004.2592,2007,161,28,189,23,15,9,6,49,33,65
8476808,4,0.463,0,51,6,0,4,Brian,Flynn,Brian Flynn,C,MTL,2,10,0.196,0,0,20162017,0,0,18.9411,0.1276,47,723.9411,,,28,20,29,149,80,69,15,13,20
8471976,8,0.512,1,49,6,0,12,David,Desharnais,David Desharnais,C,"MTL, EDM",4,14,0.2857,0,2,20162017,0,0,17.551,0.1304,46,747.5102,,,30,5,15,332,162,170,12,21,9
8462038,21,0.4723,0,74,6,0,48,Shane,Doan,Shane Doan,R,ARI,-3,27,0.3648,3,5,20162017,0,0,18.8108,0.0416,144,902.8783,1995,7,39,101,22,199,105,94,34,26,47
8470611,5,0.5129,3,53,6,0,14,Eric,Fehr,Eric Fehr,C,"PIT, TOR",2,11,0.2075,0,0,20162017,0,0,16.9245,0.0967,62,655.6792,2003,18,31,82,35,154,75,79,10,24,17
8475168,23,0.6256,3,77,18,1,12,Matt,Duchene,Matt Duchene,C,COL,-34,41,0.5324,3,9,20162017,1,1,23.3376,0.1125,160,1098.2467,2009,3,25,42,41,1098,411,687,46,60,67
8471707,18,0.5,5,70,23,1,35,James,Neal,James Neal,L,NSH,-10,41,0.5857,5,13,20162017,0,0,22.8428,0.1138,202,1061.6,2005,33,29,84,18,6,3,3,30,40,58
8474052,2,0.5,0,14,2,0,4,Chris,Terry,Chris Terry,L,MTL,-1,4,0.2857,0,0,20162017,0,0,15.2142,0.1333,15,593.2857,2007,132,27,10,1,2,1,1,8,5,5
8477473,2,0,1,32,2,0,4,Justin,Bailey,Justin Bailey,R,BUF,0,4,0.125,0,0,20162017,0,0,14.625,0.0555,36,637.9375,2013,52,21,27,14,1,1,0,10,8,13
8469665,7,0,0,52,2,0,18,Johnny,Oduya,Johnny Oduya,D,"DAL, CHI",-4,9,0.173,0,0,20162017,0,0,25.6346,0.054,37,1096.3653,2001,221,34,29,123,0,0,0,37,14,33
8475982,0,0,0,2,0,0,0,Erik,Burgdoerfer,Erik Burgdoerfer,D,BUF,-1,0,0,0,0,20162017,0,0,17,0,2,670,,,27,5,0,0,0,0,1,0,1
8477326,3,0.6666,0,18,0,0,4,Joel,Vermin,Joel Vermin,R,TBL,2,3,0.1666,0,0,20162017,0,0,15.5555,0,12,655.6111,2013,186,24,17,7,3,1,2,2,5,8
8476806,3,0.3157,1,64,3,0,73,J.T.,Brown,J.T. Brown,R,TBL,-7,6,0.0937,0,0,20162017,1,1,15.0312,0.0447,67,622.25,,,26,103,25,38,26,12,11,8,21
8471698,23,0.4833,4,68,33,1,36,T.J.,Oshie,T.J. Oshie,R,WSH,28,56,0.8235,7,13,20162017,1,3,21.9117,0.2307,143,1071.2941,2005,24,29,95,50,180,93,87,33,49,75
8478046,0,0,0,8,0,0,2,Danton,Heinen,Danton Heinen,C,BOS,-3,0,0,0,0,20162017,0,0,16.125,0,7,794,2014,116,21,6,2,0,0,0,2,5,4
8471724,29,0,2,41,5,1,32,Kris,Letang,Kris Letang,D,PIT,2,34,0.8292,2,14,20162017,0,1,29.439,0.0409,122,1531.0731,2005,62,29,70,70,0,0,0,43,30,41
